"","X","Date","Match_id","Season","Team","Opposition","Status","Venue","Round","results","Odds","line_Odds","Opp_Odds","Opp_lineOdds","Tips","Loss_prob","Win_Prob","Actual","Team_predicted","margin_estimate_1","margin_estimate_2","Tip_Outcome","Actual.Margin"
"1",1,"11/6/20",9937,2020,"Collingwood","Richmond","Home","M.C.G.","Round 2",999,2.4,8.5,1.6,-8.5,0,0.565,0.423,2,"Richmond",-9,NA,0,0
"2",2,"12/6/20",9938,2020,"Geelong","Hawthorn","Home","Kardinia Park","Round 2",999,1.55,-10.5,2.45,10.5,0,0.526,0.464,1,"Hawthorn",-4,NA,0,61
"3",3,"13/6/20",9939,2020,"Brisbane","Fremantle","Home","Gabba","Round 2",999,1.36,-18.5,3.25,18.5,1,0.286,0.71,1,"Brisbane",28,NA,1,12
"4",4,"13/6/20",9940,2020,"Carlton","Melbourne","Home","Docklands","Round 2",999,2.4,9.5,1.6,-9.5,1,0.29,0.706,0,"Carlton",28,NA,0,1
"5",5,"13/6/20",9941,2020,"Port Adelaide","Adelaide","Home","Adelaide Oval","Round 2",999,1.47,-13.5,2.75,13.5,1,0.396,0.597,1,"Port Adelaide",14,NA,1,75
"6",6,"13/6/20",9942,2020,"Gold Coast","West Coast","Home","Carrara","Round 2",999,5.75,30.5,1.15,-30.5,0,0.842,0.155,1,"West Coast",-44,NA,0,44
"7",7,"14/6/20",9943,2020,"GWS","North Melbourne","Home","Sydney Showground","Round 2",999,1.35,-19.5,3.2,19.5,1,0.414,0.579,0,"GWS",11,NA,0,-20
"8",8,"14/6/20",9944,2020,"Sydney","Essendon","Home","S.C.G.","Round 2",999,1.74,-3.5,2.1,3.5,0,0.551,0.437,0,"Essendon",-7,NA,1,-6
"9",9,"14/6/20",9945,2020,"St Kilda","Western Bulldogs","Home","Docklands","Round 2",999,2.35,9.5,1.6,-9.5,0,0.669,0.321,1,"Western Bulldogs",-22,NA,0,39
"10",10,"11/6/20",9937,2020,"Richmond","Collingwood","Away","M.C.G.","Round 2",999,1.6,-8.5,2.4,8.5,1,0.422,0.57,2,"Richmond",10,NA,0,0
"11",11,"12/6/20",9938,2020,"Hawthorn","Geelong","Away","Kardinia Park","Round 2",999,2.45,10.5,1.55,-10.5,1,0.473,0.519,0,"Hawthorn",3,NA,0,-61
"12",12,"13/6/20",9939,2020,"Fremantle","Brisbane","Away","Gabba","Round 2",999,3.25,18.5,1.36,-18.5,0,0.669,0.321,0,"Brisbane",-22,NA,1,-12
"13",13,"13/6/20",9940,2020,"Melbourne","Carlton","Away","Docklands","Round 2",999,1.6,-9.5,2.4,9.5,0,0.669,0.321,1,"Carlton",-22,NA,0,-1
"14",14,"13/6/20",9941,2020,"Adelaide","Port Adelaide","Away","Adelaide Oval","Round 2",999,2.75,13.5,1.47,-13.5,0,0.63,0.358,0,"Port Adelaide",-17,NA,1,-75
"15",15,"13/6/20",9942,2020,"West Coast","Gold Coast","Away","Carrara","Round 2",999,1.15,-30.5,5.75,30.5,1,0.133,0.865,0,"West Coast",48,NA,0,-44
"16",16,"14/6/20",9943,2020,"North Melbourne","GWS","Away","Sydney Showground","Round 2",999,3.2,19.5,1.35,-19.5,0,0.569,0.418,1,"GWS",-10,NA,0,20
"17",17,"14/6/20",9944,2020,"Essendon","Sydney","Away","S.C.G.","Round 2",999,2.1,3.5,1.74,-3.5,1,0.478,0.514,1,"Essendon",3,NA,1,6
"18",18,"14/6/20",9945,2020,"Western Bulldogs","St Kilda","Away","Docklands","Round 2",999,1.6,-9.5,2.35,9.5,1,0.291,0.705,0,"Western Bulldogs",27,NA,0,-39
"19",19,"18/6/20",9946,2020,"Richmond","Hawthorn","Home","M.C.G.","Round 3",999,1.35,-16.5,3.25,16.5,1,0.3418,0.6582,0,"Richmond",21,NA,0,-32
"20",20,"19/6/20",9947,2020,"Western Bulldogs","GWS","Home","Docklands","Round 3",999,2.45,9.5,1.56,-9.5,0,0.5949,0.4051,1,"GWS",-11,NA,0,24
"21",21,"20/6/20",9948,2020,"North Melbourne","Sydney","Home","Docklands","Round 3",999,1.56,-9.5,2.45,9.5,1,0.3738,0.6262,0,"North Melbourne",17,NA,0,-11
"22",22,"20/6/20",9949,2020,"Collingwood","St Kilda","Home","M.C.G.","Round 3",999,1.38,16.5,3.1,-16.5,0,0.5455,0.4545,1,"St Kilda",-5,NA,0,44
"23",23,"20/6/20",9950,2020,"Brisbane","West Coast","Home","Gabba","Round 3",999,1.78,-3.5,2.05,3.5,1,0.4863,0.5137,1,"Brisbane",3,NA,1,30
"24",24,"20/6/20",9951,2020,"Geelong","Carlton","Home","Kardinia Park","Round 3",999,1.15,-27.5,5.5,27.5,1,0.2551,0.7449,0,"Geelong",33,NA,0,-2
"25",25,"21/6/20",9952,2020,"Gold Coast","Adelaide","Home","Carrara","Round 3",999,1.85,-1.5,1.97,1.5,1,0.489,0.511,1,"Gold Coast",2,NA,1,53
"26",26,"21/6/20",9954,2020,"Fremantle","Port Adelaide","Home","Carrara","Round 3",999,3.35,21.5,1.33,-21.5,0,0.7192,0.2808,0,"Port Adelaide",-27,NA,1,-29
"27",27,"18/6/20",9946,2020,"Hawthorn","Richmond","Away","M.C.G.","Round 3",999,3.25,16.5,1.35,-16.5,0,0.6157,0.3843,1,"Richmond",-14,NA,0,32
"28",28,"19/6/20",9947,2020,"GWS","Western Bulldogs","Away","Docklands","Round 3",999,1.56,-9.5,2.45,9.5,1,0.4028,0.5972,0,"GWS",14,NA,0,-24
"29",29,"20/6/20",9948,2020,"Sydney","North Melbourne","Away","Docklands","Round 3",999,2.45,9.5,1.56,-9.5,0,0.6083,0.3917,1,"North Melbourne",-13,NA,0,11
"30",30,"20/6/20",9949,2020,"St Kilda","Collingwood","Away","M.C.G.","Round 3",999,3.1,-16.5,1.38,16.5,1,0.381,0.619,0,"St Kilda",16,NA,0,-44
"31",31,"20/6/20",9950,2020,"West Coast","Brisbane","Away","Gabba","Round 3",999,2.05,3.5,1.78,-3.5,0,0.5466,0.4534,0,"Brisbane",-5,NA,1,-30
"32",32,"20/6/20",9951,2020,"Carlton","Geelong","Away","Kardinia Park","Round 3",999,5.5,27.5,1.15,-27.5,0,0.8066,0.1934,1,"Geelong",-39,NA,0,2
"33",33,"21/6/20",9952,2020,"Adelaide","Gold Coast","Away","Carrara","Round 3",999,1.97,1.5,1.85,-1.5,0,0.5089,0.4911,0,"Gold Coast",0,NA,1,-53
"34",34,"21/6/20",9954,2020,"Port Adelaide","Fremantle","Away","Carrara","Round 3",999,1.33,-21.5,3.35,21.5,1,0.3324,0.6676,1,"Port Adelaide",23,NA,1,29
"35",35,"25/6/20",9955,2020,"Sydney","Western Bulldogs","Home","S.C.G.","Round 4",999,1.97,1.5,1.85,-1.5,0,0.5185,0.4815,0,"Western Bulldogs",-1,-6,1,-38
"36",36,"26/6/20",9956,2020,"GWS","Collingwood","Home","Sydney Showground","Round 4",999,2.2,6.5,1.68,-6.5,0,0.5734,0.4266,1,"Collingwood",-8,-8,0,2
"37",37,"27/6/20",9957,2020,"Port Adelaide","West Coast","Home","Carrara","Round 4",999,1.65,-6.5,2.25,6.5,0,0.5037,0.4963,1,"West Coast",1,-7,0,48
"38",38,"27/6/20",9958,2020,"St Kilda","Richmond","Home","Docklands","Round 4",999,3,14.5,1.4,-14.5,0,0.6276,0.3724,1,"Richmond",-15,-15,0,26
"39",39,"27/6/20",9960,2020,"Gold Coast","Fremantle","Home","Carrara","Round 4",999,1.68,-6.5,2.2,6.5,1,0.4527,0.5473,1,"Gold Coast",7,11,1,-1
"40",40,"28/6/20",9961,2020,"Brisbane","Adelaide","Home","Gabba","Round 4",999,1.13,-33.5,6,33.5,1,0.1904,0.8096,1,"Brisbane",41,32,1,13
"41",41,"28/6/20",9962,2020,"Melbourne","Geelong","Home","M.C.G.","Round 4",999,2.55,11.5,1.52,-11.5,0,0.5999,0.4001,0,"Geelong",-12,-13,1,37
"42",42,"28/6/20",9963,2020,"Hawthorn","North Melbourne","Home","Docklands","Round 4",999,1.65,-6.5,2.25,6.5,1,0.424,0.576,1,"Hawthorn",11,8,1,-3
"43",43,"27/6/20",9964,2020,"Essendon","Carlton","Home","M.C.G.","Round 4",999,1.56,-10.5,2.45,10.5,1,0.4351,0.5649,0,"Essendon",9,2,0,4
"44",44,"25/6/20",9955,2020,"Western Bulldogs","Sydney","Away","S.C.G.","Round 4",999,1.85,-1.5,1.97,1.5,0,0.5309,0.4691,1,"Sydney",-3,-9,0,38
"45",45,"26/6/20",9956,2020,"Collingwood","GWS","Away","Sydney Showground","Round 4",999,1.68,-6.5,2.2,6.5,1,0.4075,0.5925,1,"Collingwood",13,2,1,-2
"46",46,"27/6/20",9957,2020,"West Coast","Port Adelaide","Away","Carrara","Round 4",999,2.25,6.5,1.65,-6.5,0,0.5885,0.4115,0,"Port Adelaide",-10,-6,1,-48
"47",47,"27/6/20",9958,2020,"Richmond","St Kilda","Away","Docklands","Round 4",999,1.4,-14.5,3,14.5,1,0.3761,0.6239,0,"Richmond",17,13,0,-26
"48",48,"27/6/20",9960,2020,"Fremantle","Gold Coast","Away","Carrara","Round 4",999,2.2,6.5,1.68,-6.5,0,0.5735,0.4265,0,"Gold Coast",-8,-7,1,1
"49",49,"28/6/20",9961,2020,"Adelaide","Brisbane","Away","Gabba","Round 4",999,6,33.5,1.13,-33.5,0,0.7706,0.2294,0,"Brisbane",-34,-26,1,-13
"50",50,"28/6/20",9962,2020,"Geelong","Melbourne","Away","M.C.G.","Round 4",999,1.52,-11.5,2.55,11.5,1,0.4069,0.5931,1,"Geelong",13,2,1,-37
"51",51,"28/6/20",9963,2020,"North Melbourne","Hawthorn","Away","Docklands","Round 4",999,2.25,6.5,1.65,-6.5,0,0.575,0.425,0,"Hawthorn",-9,-8,1,3
"52",52,"2/7/20",9964,2020,"Carlton","St Kilda","Home","Docklands","Round 5",999,2.25,7.5,1.65,-7.5,0,0.58,0.42,0,"St Kilda",-10,-4,1,-18
"53",53,"3/7/20",9965,2020,"Collingwood","Essendon","Home","M.C.G.","Round 5",999,1.42,-13.5,2.9,13.5,1,0.36,0.64,0,"Collingwood",19,12,0,-15
"54",54,"4/7/20",9966,2020,"West Coast","Sydney","Home","Carrara","Round 5",999,1.58,-9.5,2.4,9.5,1,0.39,0.61,1,"West Coast",15,13,1,34
"55",55,"4/7/20",9967,2020,"Geelong","Gold Coast","Home","Kardinia Park","Round 5",999,1.32,-19.5,3.4,19.5,1,0.32,0.68,1,"Geelong",24,13,1,37
"56",56,"4/7/20",9968,2020,"Brisbane","Port Adelaide","Home","Gabba","Round 5",999,1.81,-2.5,2,2.5,0,0.55,0.45,1,"Port Adelaide",-5,-4,0,49
"57",57,"4/7/20",9969,2020,"Western Bulldogs","North Melbourne","Home","Docklands","Round 5",999,1.68,-6.5,2.2,6.5,1,0.43,0.57,1,"Western Bulldogs",10,6,1,37
"58",58,"5/7/20",9970,2020,"Adelaide","Fremantle","Home","Carrara","Round 5",999,2.4,9.5,2.4,-9.5,0,0.58,0.42,0,"Fremantle",-9,-3,1,-20
"59",59,"5/7/20",9971,2020,"Melbourne","Richmond","Home","M.C.G.","Round 5",999,2.5,10.5,1.54,-10.5,0,0.63,0.37,0,"Richmond",-15,-11,1,-27
"60",60,"5/7/20",9972,2020,"GWS","Hawthorn","Home","Sydney Showground","Round 5",999,1.62,-8.5,2.3,8.5,1,0.39,0.61,1,"GWS",16,13,1,34
"61",61,"2/7/20",9964,2020,"St Kilda","Carlton","Away","Docklands","Round 5",999,1.65,-5,2.25,5,1,0.42,0.58,1,"St Kilda",12,5,1,18
"62",62,"3/7/20",9965,2020,"Essendon","Collingwood","Away","M.C.G.","Round 5",999,2.9,13.5,1.42,-13.5,0,0.65,0.35,1,"Collingwood",-19,-11,0,15
"63",63,"4/7/20",9966,2020,"Sydney","West Coast","Away","Carrara","Round 5",999,2.4,8.5,1.58,-8.5,0,0.61,0.39,0,"West Coast",-14,-13,1,-34
"64",64,"4/7/20",9967,2020,"Gold Coast","Geelong","Away","Kardinia Park","Round 5",999,3.4,19.5,1.32,-19.5,0,0.72,0.28,0,"Geelong",-27,-27,1,-37
"65",65,"4/7/20",9968,2020,"Port Adelaide","Brisbane","Away","Gabba","Round 5",999,2,1.5,1.81,-1.5,1,0.49,0.51,0,"Port Adelaide",3,6,0,-49
"66",66,"4/7/20",9969,2020,"North Melbourne","Western Bulldogs","Away","Docklands","Round 5",999,2.2,5.5,1.68,-5.5,0,0.55,0.45,0,"Western Bulldogs",-6,-5,1,-37
"67",67,"5/7/20",9970,2020,"Fremantle","Adelaide","Away","Carrara","Round 5",999,2.4,-9.5,2.4,9.5,1,0.45,0.55,1,"Fremantle",8,8,1,20
"68",68,"5/7/20",9971,2020,"Richmond","Melbourne","Away","M.C.G.","Round 5",999,1.54,-10.5,2.5,10.5,1,0.4,0.6,1,"Richmond",14,13,1,27
"69",69,"5/7/20",9972,2020,"Hawthorn","GWS","Away","Sydney Showground","Round 5",999,2.3,7.5,1.62,-7.5,0,0.6,0.4,0,"GWS",-12,-12,1,-34
"70",70,"9/7/20",9973,2020,"Geelong","Brisbane","Home","S.C.G.","Round 6",999,2.25,7.5,1.65,-7.5,0,0.6,0.4,1,"Brisbane",-11,-4,0,27
"71",71,"10/7/20",9974,2020,"Collingwood","Hawthorn","Home","Sydney¬†Showground","Round 6",999,1.65,-6.5,2.25,6.5,1,0.47,0.53,1,"Collingwood",6,6,1,32
"72",72,"11/7/20",9975,2020,"Fremantle","St Kilda","Home","Carrara","Round 6",999,3.25,16.5,1.35,-16.5,0,0.67,0.33,1,"St Kilda",-21,-13,0,6
"73",73,"11/7/20",9976,2020,"West Coast","Adelaide","Home","Gabba","Round 6",999,1.13,-31.5,5.57,31.5,1,0.22,0.78,1,"West Coast",38,29,1,33
"74",74,"11/7/20",9977,2020,"Melbourne","Gold Coast","Home","Sydney¬†Showground","Round 6",999,1.66,-5.5,2.18,5.5,1,0.46,0.54,1,"Melbourne",6,7,1,17
"75",75,"11/7/20",9978,2020,"Essendon","North Melbourne","Home","Carrara","Round 6",999,1.57,-8.5,2.35,8.5,1,0.44,0.56,1,"Essendon",9,7,1,14
"76",76,"12/7/20",9979,2020,"Port Adelaide","GWS","Home","Carrara","Round 6",999,2,1.5,1.8,-1.5,0,0.53,0.47,1,"GWS",-3,-3,0,17
"77",77,"12/7/20",9980,2020,"Richmond","Sydney","Home","Gabba","Round 6",999,1.72,-3.5,2.1,3.5,0,0.53,0.47,1,"Sydney",-3,-3,0,8
"78",78,"12/7/20",9981,2020,"Carlton","Western Bulldogs","Home","Carrara","Round 6",999,2.54,10.5,1.5,-10.5,0,0.62,0.38,1,"Western Bulldogs",-14,-14,0,52
"79",79,"9/7/20",9973,2020,"Brisbane","Geelong","Away","S.C.G.","Round 6",999,1.65,-7.5,2.25,7.5,1,0.45,0.55,0,"Brisbane",8,8,0,-27
"80",80,"10/7/20",9974,2020,"Hawthorn","Collingwood","Away","Sydney¬†Showground","Round 6",999,2.25,6.5,1.65,-6.5,0,0.58,0.42,0,"Collingwood",-9,-2,1,-32
"81",81,"11/7/20",9975,2020,"St Kilda","Fremantle","Away","Carrara","Round 6",999,1.35,-16.5,3.25,16.5,1,0.38,0.62,0,"St Kilda",16,16,0,-6
"82",82,"11/7/20",9976,2020,"Adelaide","West Coast","Away","Gabba","Round 6",999,5.57,31.5,1.13,-31.5,0,0.81,0.19,0,"West Coast",-39,-40,1,-33
"83",83,"11/7/20",9977,2020,"Gold Coast","Melbourne","Away","Sydney¬†Showground","Round 6",999,2.18,5.5,1.66,-5.5,0,0.57,0.43,0,"Melbourne",-9,-3,1,-17
"84",84,"11/7/20",9978,2020,"North Melbourne","Essendon","Away","Carrara","Round 6",999,2.35,8.5,1.57,-8.5,0,0.59,0.41,0,"Essendon",-10,-3,1,-14
"85",85,"12/7/20",9979,2020,"GWS","Port Adelaide","Away","Carrara","Round 6",999,1.8,-1.5,2,1.5,1,0.49,0.51,0,"GWS",2,6,0,-17
"86",86,"12/7/20",9980,2020,"Sydney","Richmond","Away","Gabba","Round 6",999,2.1,3.5,1.72,-3.5,0,0.55,0.45,0,"Richmond",-5,-4,1,-8
"87",87,"12/7/20",9981,2020,"Western Bulldogs","Carlton","Away","Carrara","Round 6",999,1.5,-10.5,2.54,10.5,1,0.42,0.58,0,"Western Bulldogs",11,5,0,-52
"88",88,"16/7/20",9982,2020,"Geelong","Collingwood","Home","Perth Stadium","Round 7",999,2.1,3.5,1.74,-3.5,1,0.49,0.51,0,"Geelong",3,3,0,22
"89",89,"17/7/20",9983,2020,"Essendon","Western Bulldogs","Home","Carrara","Round 7",999,1.9,-0.5,1.9,0.5,1,0.41,0.59,0,"Essendon",12,5,0,42
"90",90,"18/7/20",9984,2020,"GWS","Brisbane","Home","Sydney Showground","Round 7",999,1.72,-4.5,2.1,4.5,1,0.44,0.56,0,"GWS",8,4,0,20
"91",91,"18/7/20",9985,2020,"Sydney","Gold Coast","Home","S.C.G.","Round 7",999,2.25,5.5,1.65,-5.5,0,0.58,0.42,0,"Gold Coast",-10,-4,1,32
"92",92,"18/7/20",9986,2020,"Richmond","North Melbourne","Home","Carrara","Round 7",999,1.57,-9.5,2.37,9.5,1,0.4,0.6,1,"Richmond",14,11,1,54
"93",93,"19/7/20",9987,2020,"Carlton","Port Adelaide","Home","Gabba","Round 7",999,2.76,15.5,1.43,-15.5,0,0.64,0.36,0,"Port Adelaide",-16,-15,1,3
"94",94,"19/7/20",9988,2020,"Hawthorn","Melbourne","Home","Sydney Showground","Round 7",999,1.72,-5.5,2.1,5.5,1,0.44,0.56,0,"Hawthorn",9,5,0,43
"95",95,"19/7/20",9989,2020,"Fremantle","West Coast","Home","Perth Stadium","Round 7",999,2.85,15.5,1.41,-15.5,0,0.62,0.38,0,"West Coast",-15,-12,1,30
"96",96,"20/7/20",9990,2020,"Adelaide","St Kilda","Home","Adelaide Oval","Round 7",999,2.99,16.5,1.38,-16.5,0,0.65,0.35,0,"St Kilda",-18,-12,1,-23
"97",97,"16/7/20",9982,2020,"Collingwood","Geelong","Away","Perth Stadium","Round 7",999,1.74,-3.5,2.1,3.5,1,0.47,0.53,1,"Collingwood",5,5,1,-22
"98",98,"17/7/20",9983,2020,"Western Bulldogs","Essendon","Away","Carrara","Round 7",999,1.9,0.5,1.9,-0.5,0,0.6,0.4,1,"Essendon",-11,-5,0,-42
"99",99,"18/7/20",9984,2020,"Brisbane","GWS","Away","Sydney Showground","Round 7",999,2.1,4.5,1.72,-4.5,0,0.54,0.46,1,"GWS",-5,-5,0,-20
